          Index           Name           S[m]       Beta1[m]         Alfa1x       Beta2[m]          Alfa2            c11            c12            c21            c22          Dx[m]            Dxp          Dy[m]            Dyp      Q1 [2*PI]      Q2 [2*PI]
             57          DTEMP          5.684        11.2627       -1.10762          11.59       -1.16229      -0.109661       -2.17946       0.039309      -0.550292     -0.0206737    -0.00240635      0.0388122     0.00371209       0.135698       0.135436
             58          DTEMP          5.782        11.4817       -1.12699        11.8198       -1.18217      -0.105808       -2.22302       0.039309      -0.554145     -0.0209095    -0.00240635       0.039176     0.00371209        0.13707       0.136768
             59          DTEMP           5.88        11.7045       -1.14637        12.0534       -1.20205      -0.101956       -2.26733       0.039309      -0.557997     -0.0211454    -0.00240635      0.0395397     0.00371209       0.138415       0.138075
             60          DTEMP          5.978         11.931       -1.16574         12.291       -1.22193     -0.0981039        -2.3124       0.039309      -0.561849     -0.0213812    -0.00240635      0.0399035     0.00371209       0.139735       0.139356
             61          DTEMP          6.076        12.1614       -1.18512        12.5324       -1.24181     -0.0942516       -2.35823       0.039309      -0.565702      -0.021617    -0.00240635      0.0402673     0.00371209        0.14103       0.140613
             62          DTEMP          6.174        12.3956        -1.2045        12.7778       -1.26169     -0.0903994       -2.40481       0.039309      -0.569554     -0.0218528    -0.00240635      0.0406311     0.00371209         0.1423       0.141846
             63          DTEMP          6.272        12.6336       -1.22387         13.027       -1.28156     -0.0865471       -2.45214       0.039309      -0.573406     -0.0220887    -0.00240635      0.0409949     0.00371209       0.143547       0.143055
             64          DTEMP           6.37        12.8754       -1.24325        13.2801       -1.30144     -0.0826948       -2.50023       0.039309      -0.577258     -0.0223245    -0.00240635      0.0413587     0.00371209       0.144769       0.144241
             65          DTEMP          6.468        13.1209       -1.26262        13.5372       -1.32132     -0.0788425       -2.54907       0.039309      -0.581111     -0.0225603    -0.00240635      0.0417225     0.00371209       0.145969       0.145404
             66          DTEMP          6.566        13.3703         -1.282        13.7981        -1.3412     -0.0749902       -2.59867       0.039309      -0.584963     -0.0227961    -0.00240635      0.0420862     0.00371209       0.147147       0.146545
             67          DTEMP          6.664        13.6235       -1.30138        14.0629       -1.36108     -0.0711379       -2.64903       0.039309      -0.588815     -0.0230319    -0.00240635        0.04245     0.00371209       0.148303       0.147665
             68          DTEMP          6.762        13.8805       -1.32075        14.3316       -1.38096     -0.0672856       -2.70014       0.039309      -0.592668     -0.0232678    -0.00240635      0.0428138     0.00371209       0.149437       0.148763
             69          DTEMP           6.86        14.1412       -1.34013        14.6043       -1.40084     -0.0634334         -2.752       0.039309       -0.59652     -0.0235036    -0.00240635      0.0431776     0.00371209        0.15055       0.149842
             70          DTEMP          6.958        14.4058       -1.35951        14.8808       -1.42071     -0.0595811       -2.80462       0.039309      -0.600372     -0.0237394    -0.00240635      0.0435414     0.00371209       0.151643         0.1509
             71          DTEMP          7.056        14.6741       -1.37888        15.1612       -1.44059     -0.0557288         -2.858       0.039309      -0.604224     -0.0239752    -0.00240635      0.0439052     0.00371209       0.152716       0.151938
             72          DTEMP          7.154        14.9463       -1.39826        15.4455       -1.46047     -0.0518765       -2.91213       0.039309      -0.608077     -0.0242111    -0.00240635       0.044269     0.00371209       0.153769       0.152957
             73          DTEMP          7.252        15.2223       -1.41763        15.7337       -1.48035     -0.0480242       -2.96701       0.039309      -0.611929     -0.0244469    -0.00240635      0.0446327     0.00371209       0.154803       0.153958
             74          DTEMP           7.35         15.502       -1.43701        16.0258       -1.50023     -0.0441719       -3.02265       0.039309      -0.615781     -0.0246827    -0.00240635      0.0449965     0.00371209       0.155818        0.15494
             75          DTEMP          7.448        15.7856       -1.45639        16.3218       -1.52011     -0.0403197       -3.07905       0.039309      -0.619634     -0.0249185    -0.00240635      0.0453603     0.00371209       0.156816       0.155904
             76          DTEMP          7.546        16.0729       -1.47576        16.6217       -1.53998     -0.0364674        -3.1362       0.039309      -0.623486     -0.0251543    -0.00240635      0.0457241     0.00371209       0.157795       0.156851
             77          DTEMP          7.644        16.3641       -1.49514        16.9254       -1.55986     -0.0326151       -3.19411       0.039309      -0.627338     -0.0253902    -0.00240635      0.0460879     0.00371209       0.158756       0.157781
             78          DTEMP          7.742         16.659       -1.51451        17.2331       -1.57974     -0.0287628       -3.25277       0.039309       -0.63119      -0.025626    -0.00240635      0.0464517     0.00371209       0.159701       0.158695
             79          DTEMP           7.84        16.9578       -1.53389        17.5447       -1.59962     -0.0249105       -3.31218       0.039309      -0.635043     -0.0258618    -0.00240635      0.0468154     0.00371209       0.160629       0.159592
             80          DTEMP          7.938        17.2603       -1.55327        17.8602        -1.6195     -0.0210582       -3.37235       0.039309      -0.638895     -0.0260976    -0.00240635      0.0471792     0.00371209       0.161541       0.160473
             81          DTEMP          8.036        17.5666       -1.57264        18.1795       -1.63938     -0.0172059       -3.43328       0.039309      -0.642747     -0.0263334    -0.00240635       0.047543     0.00371209       0.162436       0.161338
             82          DTEMP          8.134        17.8768       -1.59202        18.5028       -1.65925     -0.0133537       -3.49496       0.039309        -0.6466     -0.0265693    -0.00240635      0.0479068     0.00371209       0.163317       0.162189
             83          DTEMP          8.232        18.1907        -1.6114          18.83       -1.67913    -0.00950137       -3.55739       0.039309      -0.650452     -0.0268051    -0.00240635      0.0482706     0.00371209       0.164182       0.163024
             84          DTEMP           8.33        18.5084       -1.63077         19.161       -1.69901    -0.00564909       -3.62058       0.039309      -0.654304     -0.0270409    -0.00240635      0.0486344     0.00371209       0.165032       0.163845
             85          DTEMP          8.428          18.83       -1.65015         19.496       -1.71889     -0.0017968       -3.68453       0.039309      -0.658156     -0.0272767    -0.00240635      0.0489982     0.00371209       0.165867       0.164652
             86          DTEMP          8.526        19.1553       -1.66952        19.8348       -1.73877     0.00205548       -3.74923       0.039309      -0.662009     -0.0275126    -0.00240635      0.0493619     0.00371209       0.166688       0.165446
             87          DTEMP          8.624        19.4844        -1.6889        20.1776       -1.75865     0.00590777       -3.81469       0.039309      -0.665861     -0.0277484    -0.00240635      0.0497257     0.00371209       0.167496       0.166225
             88          DTEMP          8.722        19.8173       -1.70828        20.5242       -1.77853     0.00976005        -3.8809       0.039309      -0.669713     -0.0279842    -0.00240635      0.0500895     0.00371209       0.168289       0.166992
             89          DTEMP           8.82        20.1541       -1.72765        20.8748        -1.7984      0.0136123       -3.94786       0.039309      -0.673566       -0.02822    -0.00240635      0.0504533     0.00371209        0.16907       0.167745
             90          DTEMP          8.918        20.4946       -1.74703        21.2292       -1.81828      0.0174646       -4.01558       0.039309      -0.677418     -0.0284558    -0.00240635      0.0508171     0.00371209       0.169837       0.168486
