          Index           Name          S[cm]     Beta1x[cm]         Alfa1x     Beta1y[cm]         Alfa1y    Nu1 [2*PI]      Beta2x[cm]         Alfa2x     Beta2y[cm]         Alfa2y     Nu2 [2*PI]              U        Dx [cm]            Dxp         Dy[cm]            Dyp      Q1 [2*PI]      Q2 [2*PI]        m56[m] 
            106        DRIFT_2        1612.78        5305.52        -3.0063        302.722      -0.170836      0.0851331         296.48      -0.167877        5489.05       -3.10288       0.415485      0.0525473        4.00555      0.0164923         3.8727     0.00185167       0.203903       0.201369   -0.000219314
            107        DRIFT_2        1700.37        5846.51       -3.17033        333.458      -0.180079       0.085199        326.688      -0.177018         6047.3       -3.27083       0.415424      0.0525473        5.45005      0.0164923        4.03488     0.00185167       0.206274       0.203661   -0.000219314
            108        DRIFT_2        1787.95        6416.23       -3.33435        365.812      -0.189322      0.0852581        358.497       -0.18616        6634.97       -3.43878       0.415369      0.0525473        6.89454      0.0164923        4.19706     0.00185167       0.208431       0.205746   -0.000219314
            109        DRIFT_2        1875.54        7014.68       -3.49837        399.785      -0.198565      0.0853113        391.908      -0.195301        7252.06       -3.60673       0.415318      0.0525473        8.33904      0.0164923        4.35924     0.00185167         0.2104        0.20765   -0.000219314
            110        DRIFT_2        1963.13        7641.86       -3.66239        435.378      -0.207808      0.0853595         426.92      -0.204443        7898.57       -3.77468       0.415273      0.0525473        9.78353      0.0164923        4.52142     0.00185167       0.212203       0.209395   -0.000219314
            111        DRIFT_2        2050.71        8297.78       -3.82641         472.59      -0.217051      0.0854032        463.533      -0.213584         8574.5       -3.94264       0.415231      0.0525473         11.228      0.0164923         4.6836     0.00185167       0.213862          0.211   -0.000219314
            112     YI6_DH0_E1        2050.71        8297.78       -3.82641         472.59      -0.217051      0.0854032        463.533      -0.213584         8574.5       -3.94264       0.415231      0.0525473         11.228      0.0164923         4.6836     0.00185167       0.213862          0.211   -0.000219314
            113         D0MP06        2409.61        11283.2       -4.49131        641.981      -0.254925      0.0855469        630.155       -0.25064        11651.5       -4.63084       0.415092      0.0525473        14.4204     0.00129747        5.34816     0.00185167       0.219456       0.216416      0.0026931
            114     YI6_DH0_E2        2409.61        11283.2       -4.49131        641.981      -0.254925      0.0855469        630.155       -0.25064        11651.5       -4.63084       0.415092      0.0525473        14.4204     0.00129747        5.34816     0.00185167       0.219456       0.216416      0.0026931
            115        DRIFT_3        2472.84        11858.7       -4.60938        674.642      -0.261598      0.0855677        662.268      -0.257221        12244.8       -4.75209       0.415071      0.0525473        14.5025     0.00129747        5.46524     0.00185167        0.22028       0.217214      0.0026931
